Article,What does it conceptualize?,Usual modeling characteristics,Is it a statistically validated measure?,Scale Name,Parent Scale,Sub Scale,Scale / Item,Text of the item,"Is it reverse coded 
or transformed?",Does this item potentially contain identifying information?,Type of scale,Scoring,Type of data,Time Stem,Top-level question,Anchors/answers or mapping/representation (numeric),Anchors/answers or mapping/representation (nominal),Delivery mechanism,How frequently is it delivered?,Citation,Notes,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To have my name appear frequently in the media. How much have you already attained this goal?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,"Life-goal: To feel that there are people who really love me, and whom I love.  How important is this to you?",0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,"Life-goal: To feel that there are people who really love me, and whom I love. How likely is it that this will happen in your future?",0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,"Life-goal: To feel that there are people who really love me, and whom I love. How much have you already attained this goal?",0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,"Life-goal: To achieve the ""look"" I've been after.  How important is this to you?",0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,"Life-goal: To achieve the ""look"" I've been after. How likely is it that this will happen in your future?",0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,"Life-goal: To achieve the ""look"" I've been after. How much have you already attained this goal?",0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To help others improve their lives.  How important is this to you?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To help others improve their lives. How likely is it that this will happen in your future?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To help others improve their lives. How much have you already attained this goal?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To be relatively free from sickness.  How important is this to you?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To be relatively free from sickness. How likely is it that this will happen in your future?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To be relatively free from sickness. How much have you already attained this goal?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To have enough money to buy everything I want.  How important is this to you?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To have enough money to buy everything I want. How likely is it that this will happen in your future?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To have enough money to buy everything I want. How much have you already attained this goal?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To gain increasing insight into why I do the things I do.  How important is this to you?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To gain increasing insight into why I do the things I do. How likely is it that this will happen in your future?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To gain increasing insight into why I do the things I do. How much have you already attained this goal?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To be admired by lots of different people.  How important is this to you?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To be admired by lots of different people. How likely is it that this will happen in your future?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To be admired by lots of different people. How much have you already attained this goal?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To have deep enduring relationships.  How important is this to you?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To have deep enduring relationships. How likely is it that this will happen in your future?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To have deep enduring relationships. How much have you already attained this goal?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To have an image that others find appealing.  How important is this to you?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To have an image that others find appealing. How likely is it that this will happen in your future?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To have an image that others find appealing. How much have you already attained this goal?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To help people in need.  How important is this to you?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To help people in need. How likely is it that this will happen in your future?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To help people in need. How much have you already attained this goal?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To have a physically healthy life style.  How important is this to you?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To have a physically healthy life style. How likely is it that this will happen in your future?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To have a physically healthy life style. How much have you already attained this goal?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
,"""the discovery of the real self and its expression and the development.""",NA,1,Self-Actualization Index,NA,"Self-acceptance and Self-awareness, Autonomy and Independence, Personal Growth and Human Potential",Scale,,,,,,,,,,,paper,only once,"Jones, A., & Crandall, R. (1986). Validation of a Short Index of Self-Actualization. Personality and Social Psychology Bulletin, 12(1), 63-73. https://doi.org/10.1177/0146167286121007 (Original work published 1986)",,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,Self-acceptance and Self-awareness,Self-Actualization Index,NA,,,,,,,,,,,,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,Autonomy and Independence,Self-Actualization Index,NA,,,,,,,,,,,,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,Personal Growth and Human Potential,Self-Actualization Index,NA,,,,,,,,,,,,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,I do not feel ashamed of any of my emotions.,NA,0,multiple choice,factor analysis,ordinal,NA,NA,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,I feel I must do what others expect me to do.,Yes,0,multiple choice,factor analysis,ordinal,NA,NA,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,I believe that people are essentially good and can be trusted.,NA,0,multiple choice,factor analysis,ordinal,NA,NA,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,I feel free to be angry at those I love.,NA,0,multiple choice,factor analysis,ordinal,NA,NA,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,It is always necessary that others approve of what I do.,Yes,0,multiple choice,factor analysis,ordinal,NA,NA,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,I don't accept my own weaknesses.,NA,0,multiple choice,factor analysis,ordinal,NA,NA,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,I can like people without having to approve of them.,NA,0,multiple choice,factor analysis,ordinal,NA,NA,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,I fear failure.,Yes,0,multiple choice,factor analysis,ordinal,NA,NA,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,I avoid attempts to analyze and simplify complex domains.,Yes,0,multiple choice,factor analysis,ordinal,NA,NA,1-9.,NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,It is better to be yourself than to be popular.,NA,0,multiple choice,factor analysis,ordinal,NA,NA,1-9.,NA,,,,,
